    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
      -2.691052027,       2.748682863,     0.05197685106,       0.149728508
      -2.690158328,        2.74957405,      0.0520810093,      0.1496662762
      -2.689248889,       2.750484563,      0.0521794742,       0.149606392
      -2.688343805,       2.751389399,     0.05227694165,      0.1494938627
      -2.687386272,       2.752356372,     0.05237210207,      0.1493801336
      -2.686385622,       2.753376457,     0.05246586412,      0.1492829111
      -2.685323132,       2.754467742,     0.05255511795,      0.1491606815
      -2.684227899,       2.755594495,     0.05263964301,      0.1490207868
      -2.683127346,       2.756728879,     0.05272101539,      0.1488467283
      -2.682022696,       2.757874692,     0.05279943947,      0.1486845885
      -2.680884655,       2.759061269,     0.05287200753,       0.148484997
      -2.679739308,        2.76026203,     0.05294063812,      0.1482755908
       -2.67857177,        2.76149466,     0.05300517155,      0.1481013998
       -2.67740286,       2.762737272,     0.05306632215,      0.1479808185
      -2.676237492,       2.763980656,      0.0531222866,      0.1478809043
      -2.675092632,       2.765208532,     0.05317062524,      0.1478115549
      -2.673922327,       2.766474854,     0.05321231486,      0.1477371504
      -2.672771078,       2.767734196,     0.05324040928,       0.147736822
      -2.671639618,       2.768981761,     0.05326011128,      0.1477291809
      -2.670530745,       2.770211254,     0.05327109343,      0.1476918734
      -2.669419986,       2.771446013,     0.05327409215,      0.1476504342
      -2.668304301,       2.772693935,     0.05326376909,      0.1476675663
      -2.667200001,       2.773936606,     0.05324358254,      0.1476586525
      -2.666098972,        2.77517845,     0.05320964614,       0.147648266
      -2.664993724,       2.776436387,     0.05316223629,      0.1476576967
      -2.663882529,       2.777702254,     0.05310361916,      0.1476893788
      -2.662779833,       2.778962652,     0.05303989757,      0.1477368063
      -2.661683856,       2.780218724,     0.05296422907,      0.1478116827
      -2.660584013,       2.781481556,     0.05287989563,      0.1478737569
      -2.659482937,       2.782751811,     0.05278023852,      0.1478996469
      -2.658400975,        2.78400724,     0.05266853629,      0.1479458101
      -2.657325397,       2.785258917,     0.05254527705,      0.1479666365
      -2.656254317,       2.786506867,     0.05241377271,      0.1479983375
      -2.655202726,       2.787741411,     0.05226994629,       0.148015948
      -2.654167853,       2.788961161,     0.05211724518,      0.1480610147
      -2.653151714,       2.790162635,     0.05195481943,      0.1481029951
      -2.652144493,        2.79136018,     0.05178021717,      0.1481535932
      -2.651150604,       2.792544991,     0.05159306959,      0.1481984021
      -2.650177897,       2.793706906,     0.05139676423,      0.1482493633
      -2.649200311,       2.794875984,     0.05119367335,      0.1482884699
      -2.648234741,       2.796031953,     0.05098427164,       0.148360877
      -2.647297354,       2.797151969,     0.05076509111,      0.1484659465
      -2.646363891,       2.798260401,     0.05053660619,      0.1485952765
      -2.645437217,       2.799353955,     0.05030183928,      0.1486782713
      -2.644531529,       2.800412983,      0.0500575063,      0.1487678674
      -2.643642727,       2.801442757,     0.04981527986,       0.148882188
      -2.642769156,       2.802442592,     0.04956139618,      0.1489816678
      -2.641903825,       2.803417079,     0.04929733377,      0.1491034833
      -2.641065778,       2.804347216,      0.0490293904,      0.1492109213
      -2.640284868,       2.805194322,      0.0487508153,      0.1493161042
      -2.639527785,       2.805991581,     0.04846513092,      0.1494269464
      -2.638815906,       2.806714862,     0.04818063494,      0.1495759917
       -2.63812969,        2.80738338,     0.04789056356,      0.1497146279
      -2.637486483,       2.807975198,     0.04759718192,      0.1498469632
      -2.636901272,       2.808471223,     0.04730145434,      0.1499803754
      -2.636382358,       2.808858131,     0.04700421692,      0.1500787641
      -2.635920862,       2.809144541,     0.04670323644,      0.1501514726
      -2.635520429,       2.809323844,     0.04639385731,      0.1502386102
      -2.635193738,       2.809377982,     0.04607687993,      0.1503290807
      -2.634920351,       2.809326895,     0.04575462481,      0.1503947283
      -2.634728772,       2.809139422,     0.04542964096,      0.1504256686
      -2.634604566,       2.808833771,     0.04510133678,      0.1504191773
       -2.63457519,       2.808377405,     0.04477125134,      0.1503920382
      -2.634634278,       2.807772319,     0.04443737259,       0.150361628
      -2.634763585,       2.807037998,     0.04410127798,      0.1503570328
      -2.634983045,       2.806155138,     0.04376045258,      0.1503902787
      -2.635260307,       2.805158232,        0.04341535,      0.1504210209
      -2.635594579,       2.804049903,     0.04306901521,      0.1504745965
      -2.635998547,       2.802814053,      0.0427194817,      0.1505477862
      -2.636460106,        2.80146742,     0.04236438044,      0.1506033685
         -2.636973,        2.80002133,      0.0420047374,       0.150656182
      -2.637530013,       2.798485909,     0.04164397067,      0.1506865644
      -2.638111101,       2.796885922,     0.04128382481,       0.150701392
      -2.638711471,       2.795231162,     0.04092528664,      0.1506746247
      -2.639319742,       2.793538746,     0.04056717626,      0.1506551921
       -2.63993482,       2.791819764,     0.04021174171,      0.1506182202
      -2.640583029,       2.790051425,     0.03985402379,       0.150627041
      -2.641271133,       2.788232156,     0.03950317863,      0.1505740922
      -2.641934221,       2.786442503,     0.03915575005,      0.1505346165
      -2.642583127,       2.784677126,     0.03880858066,      0.1505247543
      -2.643237349,       2.782922574,     0.03845980277,      0.1504920599
      -2.643897721,       2.781182104,      0.0381155822,      0.1504989687
      -2.644540051,       2.779490324,     0.03776658142,      0.1505198283
      -2.645174864,       2.777841749,     0.03741486465,       0.150575665
      -2.645781642,       2.776263088,      0.0370637189,      0.1506334248
      -2.646345427,       2.774776662,     0.03671467518,      0.1506342911
      -2.646876521,       2.773380227,     0.03636326774,      0.1506177634
      -2.647378628,       2.772069049,     0.03600802154,      0.1505814944
      -2.647854243,       2.770836918,     0.03564481636,        0.15052885
      -2.648308612,       2.769682314,     0.03527622828,      0.1503910828
      -2.648751197,       2.768593817,     0.03490392236,      0.1501996542
      -2.649136343,       2.767625547,     0.03453872402,      0.1500727278
      -2.649495122,       2.766739825,     0.03418220438,      0.1499626593
      -2.649822012,       2.765940507,     0.03382989458,      0.1498762026
      -2.650109976,       2.765226734,     0.03348358267,      0.1498463725
      -2.650344943,       2.764614688,     0.03313382958,      0.1498176642
      -2.650544058,       2.764080793,     0.03278300638,      0.1497470508
      -2.650718361,       2.763603146,     0.03243129611,       0.149668344
      -2.650858917,       2.763183563,     0.03208070991,      0.1496018931
      -2.650953786,       2.762839164,     0.03172879809,      0.1495379306
       -2.65102228,       2.762541642,     0.03137743354,      0.1495086383
      -2.651058776,       2.762290325,     0.03103005044,      0.1495030917
      -2.651067956,       2.762078537,     0.03068435561,      0.1494909395
      -2.651054189,       2.761903147,     0.03033973411,      0.1494702878
      -2.651019609,       2.761762672,     0.02999279661,      0.1494337588
      -2.650955623,       2.761665537,     0.02964127589,      0.1493642979
      -2.650860086,       2.761612861,     0.02928088585,       0.149260312
      -2.650797033,       2.761521464,     0.02891593725,      0.1491697684
      -2.650722045,       2.761447082,     0.02855655976,      0.1491401118
      -2.650639737,       2.761390155,     0.02819415387,      0.1491001351
      -2.650579568,       2.761320277,     0.02782625904,      0.1490496508
      -2.650525835,       2.761249947,     0.02745341759,       0.148983118
      -2.650438691,       2.761227038,       0.027079816,      0.1489114127
      -2.650374459,       2.761180316,     0.02670473786,      0.1488310007
      -2.650331591,       2.761112023,     0.02632925597,      0.1487416241
      -2.650313977,        2.76101821,     0.02595000095,      0.1486120378
      -2.650303578,       2.760929506,     0.02557041971,      0.1484677073
      -2.650292006,       2.760851333,     0.02518999471,      0.1483098003
      -2.650266796,       2.760795447,     0.02480603676,      0.1481393702
      -2.650284244,       2.760696128,     0.02441723684,      0.1479350686
      -2.650292759,       2.760616631,     0.02403826441,      0.1477897832
      -2.650296315,       2.760544071,     0.02365759976,      0.1476714671
      -2.650323436,       2.760450704,     0.02327551337,      0.1476128229
      -2.650336285,       2.760377918,     0.02288765313,      0.1475348299
      -2.650362212,       2.760291563,     0.02249842391,      0.1474503235
      -2.650432046,       2.760158318,     0.02210123881,      0.1473437778
      -2.650507439,        2.76002254,     0.02170346205,      0.1472453006
